Ciudad,Departamento,Pais
LA CARO,Cundinamarca,Colombia
LA FLORIDA,Cundinamarca,Colombia
LA PUNTA,Cundinamarca,Colombia
LARGA,Cundinamarca,Colombia
MESITAS DEL COLEGIO,Cundinamarca,Colombia
PUENTE DE PIEDRA,Cundinamarca,Colombia
PUERTO BOGOTÁ,Cundinamarca,Colombia
SAN JUAN DE SUMAPAZ,Cundinamarca,Colombia
SANTANDERCITO,Cundinamarca,Colombia
SUBIA,Cundinamarca,Colombia
TIBAQUI,Cundinamarca,Colombia
UBATÉ,Cundinamarca,Colombia
USME,Cundinamarca,Colombia
BERASTEGUI,Córdoba,Colombia
CARRILLO,Córdoba,Colombia
CERROMATOSO,Córdoba,Colombia
EL VIAJANO,Córdoba,Colombia
LA YE,Córdoba,Colombia
LOS GARZONES,Córdoba,Colombia
MATEO GOMEZ,Córdoba,Colombia
MOCARI,Córdoba,Colombia
RETIRO DE LOS INDIOS,Córdoba,Colombia
BELÉN,Huila,Colombia
BETANIA,Huila,Colombia
BRUSELAS,Huila,Colombia
ECOPETROL KM. 17,Huila,Colombia
EL CAGUÁN,Huila,Colombia
EL JUNCAL,Huila,Colombia
FORTALECILLAS,Huila,Colombia
KILÓMETRO 12 VÍA AL SUR,Huila,Colombia
LA JAGUA,Huila,Colombia
LA ULLOA,Huila,Colombia
ALBANIA CAMPAMENTO LA ROSITA,La Guajira,Colombia
ALBANIA HOTEL WAYA,La Guajira,Colombia
BUENAVISTA,La Guajira,Colombia
CAMPANA,La Guajira,Colombia
CUESTECITA,La Guajira,Colombia
GESELCA,La Guajira,Colombia
GUAYACANAL,La Guajira,Colombia
LA PUNTA,La Guajira,Colombia
LAS FLORES,La Guajira,Colombia
MINA EL CERREJÓN,La Guajira,Colombia
MINGUEO,La Guajira,Colombia
OREGANAL,La Guajira,Colombia
PALOMINO,La Guajira,Colombia
PAPAYAL,La Guajira,Colombia
PUERTO BRISA,La Guajira,Colombia
RIOANCHO,La Guajira,Colombia
BURITACÁ,Magdalena,Colombia
CALABAZO,Magdalena,Colombia
CORDOBITA,Magdalena,Colombia
DRUMOND,Magdalena,Colombia
EL RODADERO,Magdalena,Colombia
GAIRA,Magdalena,Colombia
GUACAMAYAL,Magdalena,Colombia
GUACHACA,Magdalena,Colombia
LA GRAN VÍA,Magdalena,Colombia
MEDIALUNA,Magdalena,Colombia
MINCA,Magdalena,Colombia
ORIHUECA,Magdalena,Colombia
PALERMO,Magdalena,Colombia
PERICO AGUAO,Magdalena,Colombia
PUEBLITO LOS ANDES,Magdalena,Colombia
PUEBLO NUEVO,Magdalena,Colombia
PUERTO NUEVO,Magdalena,Colombia
RIOFRÍO,Magdalena,Colombia
SAN ÁNGEL,Magdalena,Colombia
TAGANGA,Magdalena,Colombia
TUCURINCA,Magdalena,Colombia
APIAY,Meta,Colombia
Acacias,Meta,Colombia
CHICHIMENE,Meta,Colombia
LA CUNCIA,Meta,Colombia
MEDELLÍN DEL ARIARI,Meta,Colombia
PACHAQUIARO,Meta,Colombia
POMPEYA,Meta,Colombia
PUNTA BRAVA,Meta,Colombia
VILLA CAROLA,Meta,Colombia
ALTOS DE DAZA,Nariño,Colombia
ANGANOY,Nariño,Colombia
ARGÜELLO ALTO,Nariño,Colombia
ARIZONA,Nariño,Colombia
BAJO CASANARE,Nariño,Colombia
BERMEJAL,Nariño,Colombia
BERRUECOS,Nariño,Colombia
BOTANILLA,Nariño,Colombia
BRUSELAS,Nariño,Colombia
BUESAQUILLO,Nariño,Colombia
CABRERA,Nariño,Colombia
CANCHALA,Nariño,Colombia
CARLOSAMA,Nariño,Colombia
CATAMBUCO,Nariño,Colombia
CEROTAL,Nariño,Colombia
CHAPACUAL,Nariño,Colombia
CHORRILLO,Nariño,Colombia
CIMARRONES,Nariño,Colombia
CRUZ ARADA,Nariño,Colombia
CRUZ DE AMARILLO,Nariño,Colombia
CUBIJAN  BAJO,Nariño,Colombia
CUJACAL,Nariño,Colombia
CUJACAL BAJO,Nariño,Colombia
CUJACAL CENTRO,Nariño,Colombia
DOLORES,Nariño,Colombia
EL BAJITO,Nariño,Colombia
EL CAMPANERO,Nariño,Colombia
EL CAPULI,Nariño,Colombia
EL ENCANO,Nariño,Colombia
EL ESPINO,Nariño,Colombia
EL REMOLINO,Nariño,Colombia
EL TABLÓN,Nariño,Colombia
ESPRIELLA,Nariño,Colombia
GENOY,Nariño,Colombia
GRANADILLO DE CHÁVEZ,Nariño,Colombia
GRANADILLO DE LUNAS,Nariño,Colombia
GUACHAVÉS,Nariño,Colombia
GUAIRABAMBA,Nariño,Colombia
GUALMATÁN ALTO,Nariño,Colombia
GUANAMA,Nariño,Colombia
GUAYABAL,Nariño,Colombia
GÉNOVA,Nariño,Colombia
INNATAS BAJO,Nariño,Colombia
ISCUANDÉ,Nariño,Colombia
JONGOVITO,Nariño,Colombia
JUNÍN,Nariño,Colombia
JURADO,Nariño,Colombia
LA ALIANZA,Nariño,Colombia
LA ESTANCIA,Nariño,Colombia
LA GUAYACANA,Nariño,Colombia
LA LAGUNA,Nariño,Colombia
LA PALMA,Nariño,Colombia
LA VICTORIA,Nariño,Colombia
LAS LAJAS,Nariño,Colombia
LAS MESAS,Nariño,Colombia
LLORENTE,Nariño,Colombia
LOS ÁNGELES,Nariño,Colombia
MAPACHICO ALTO,Nariño,Colombia
MAPACHICO BAJO,Nariño,Colombia
MAPACHICO SAN JOSÉ,Nariño,Colombia
MENESES DE HURTADO,Nariño,Colombia
MOCONDINO,Nariño,Colombia
MOTILÓN,Nariño,Colombia
NARANJAL,Nariño,Colombia
OBANDO,Nariño,Colombia
OBONUCO,Nariño,Colombia
PASIZARA,Nariño,Colombia
PEDREGAL,Nariño,Colombia
PEJENDINO REYES,Nariño,Colombia
PIEDRA ANCHA,Nariño,Colombia
PILCUAN,Nariño,Colombia
SALAHONDA,Nariño,Colombia
SAN ANTONIO DE ARANDA,Nariño,Colombia
SAN FERNANDO,Nariño,Colombia
SAN FRANCISCO,Nariño,Colombia
SAN JOSÉ,Nariño,Colombia
SAN JOSÉ DE COAPITAS,Nariño,Colombia
SAN JOSÉ DE CÓRDOBA,Nariño,Colombia
SAN JUAN,Nariño,Colombia
SAN JUAN ANGANOY,Nariño,Colombia
SOTOMAYOR,Nariño,Colombia
SUCUMBIOS,Nariño,Colombia
TESCUAL,Nariño,Colombia
VILLA MORENO,Nariño,Colombia
AGUA CLARA,Norte de Santander,Colombia
ASTILLEROS,Norte de Santander,Colombia
LA DONJUANA,Norte de Santander,Colombia
LA PARADA,Norte de Santander,Colombia
LAS MERCEDES,Norte de Santander,Colombia
SAN FAUSTINO,Norte de Santander,Colombia
EL TIGRE,Putumayo,Colombia
LA DORADA,Putumayo,Colombia
LA HORMIGA,Putumayo,Colombia
LA TAGUA,Putumayo,Colombia
PUERTO LEGUIZAMO,Putumayo,Colombia
BARCELONA,Quindío,Colombia
BARRAGÁN,Quindío,Colombia
LA BELLA,Quindío,Colombia
LA SILVIA,Quindío,Colombia
LA VIRGINIA,Quindío,Colombia
PUEBLO TAPADO,Quindío,Colombia
ALTAGRACIA,Risaralda,Colombia
ARABIA,Risaralda,Colombia
CERRITOS,Risaralda,Colombia
IRRA,Risaralda,Colombia
LA FLORIDA,Risaralda,Colombia
SAN CLEMENTE,Risaralda,Colombia
CAMPO 23,Santander,Colombia
EL CENTRO,Santander,Colombia
EL LLANITO,Santander,Colombia
HIDROSOGAMOSO,Santander,Colombia
LA FORTUNA,Santander,Colombia
LA MATA,Santander,Colombia
LA MESA DE LOS SANTOS,Santander,Colombia
OLIVAL,Santander,Colombia
PESCADERO,Santander,Colombia
PUENTE SOGAMOSO,Santander,Colombia
PUERTO ARAUJO,Santander,Colombia
Santa Bárbara de Pinto,Santander,Colombia
VADO REAL,Santander,Colombia
YARIMA,Santander,Colombia
BUENOS AIRES,Tolima,Colombia
CASTILLA,Tolima,Colombia
CEMEX TRANSPORTES/ Gualanday,Tolima,Colombia
CHICORAL,Tolima,Colombia
DOIMA,Tolima,Colombia
GUALANDAY,Tolima,Colombia
HERRERA,Tolima,Colombia
LA CHAMBA,Tolima,Colombia
LA PALMITA,Tolima,Colombia
LA SIERRA,Tolima,Colombia
PADUA,Tolima,Colombia
PAYANDE,Tolima,Colombia
PICALEÑA,Tolima,Colombia
PLANTA CEMEX CARACOLITO / Payande,Tolima,Colombia
PLAYA RICA,Tolima,Colombia
SAN FELIPE,Tolima,Colombia
TOLEMAIDA,Tolima,Colombia
AMAIME,Valle del Cauca,Colombia
BOLO ALISAL - Palmira,Valle del Cauca,Colombia
BOLO ITALIA / Palmira,Valle del Cauca,Colombia
BOLO SAN ISIDRO - Palmira,Valle del Cauca,Colombia
CAUCASECO - PALMIRA,Valle del Cauca,Colombia
CAVASA,Valle del Cauca,Colombia
CISNEROS,Valle del Cauca,Colombia
CIUDAD DEL CAMPO - PALMIRA,Valle del Cauca,Colombia
COSTA RICA,Valle del Cauca,Colombia
DAPA,Valle del Cauca,Colombia
DARIÉN,Valle del Cauca,Colombia
EL CABUYAL,Valle del Cauca,Colombia
EL CARMELO,Valle del Cauca,Colombia
EL CARMEN / Km. 30,Valle del Cauca,Colombia
EL PLACER,Valle del Cauca,Colombia
EL QUEREMAL,Valle del Cauca,Colombia
EL SALADITO,Valle del Cauca,Colombia
GUANABANAL /  PALMIRA,Valle del Cauca,Colombia
INGENIO CARMELITA,Valle del Cauca,Colombia
INGENIO DEL CAUCA INCAUCA,Valle del Cauca,Colombia
INGENIO LA CABAÑA,Valle del Cauca,Colombia
INGENIO MANUELITA,Valle del Cauca,Colombia
INGENIO MARIA LUISA,Valle del Cauca,Colombia
INGENIO MAYAGUEZ,Valle del Cauca,Colombia
INGENIO PICHICHI,Valle del Cauca,Colombia
INGENIO PROVIDENCIA,Valle del Cauca,Colombia
INGENIO RIOPAILA,Valle del Cauca,Colombia
INGENIO SAN CARLOS,Valle del Cauca,Colombia
INGENIO SEMICAÑA,Valle del Cauca,Colombia
JUANCHITO / CALI,Valle del Cauca,Colombia
LA BUITRERA / Cali,Valle del Cauca,Colombia
LA DOLORES / Palmira,Valle del Cauca,Colombia
LA ELVIRA / Cali,Valle del Cauca,Colombia
LA HERRADURA / Palmira,Valle del Cauca,Colombia
LA PAILA,Valle del Cauca,Colombia
LA URIBE,Valle del Cauca,Colombia
LOBOGUERRERO,Valle del Cauca,Colombia
MEDIA CANOA,Valle del Cauca,Colombia
MONTEBELLO / Cali,Valle del Cauca,Colombia
MULALÓ / Yumbo,Valle del Cauca,Colombia
PALMASECA / Palmira,Valle del Cauca,Colombia
PANCE / Cali,Valle del Cauca,Colombia
PAVAS,Valle del Cauca,Colombia
POTRERITO - Jamundi,Valle del Cauca,Colombia
PRESIDENTE,Valle del Cauca,Colombia
ROZO,Valle del Cauca,Colombia
SAN MARCOS,Valle del Cauca,Colombia
SANTA ELENA / Palmira,Valle del Cauca,Colombia
SONSO,Valle del Cauca,Colombia
TABLONES / Palmira,Valle del Cauca,Colombia
TIENDA NUEVA,Valle del Cauca,Colombia
VILLA GORGONA,Valle del Cauca,Colombia
ZARAGOZA,Valle del Cauca,Colombia
